gene	associated	HiC	Density	numPeaks	concDMSO	concNutlin
CAMTA2	1	1	2	2	12.55	12.82
TNS3	0	1	1	1	10.51	10.09
TRAF3IP2	0	1	1	3	9.34	8.48
CCDC90B	0	2	1	1	-0.08	-0.15
TMEM45A	0	2	1	1	6.71	7.32
IGFBP3	0	2	1	1	9.64	9.06
TK2	0	1	2	1	10.54	10.71
IGFBP7	0	1	1	3	-0.08	5.18
IGFBP5	0	2	1	3	9.76	9.57
PHLDB1	1	1	2	1	11.71	12.01
EPS8L2	1	1	2	2	12.5	12.89
GJA3	0	3	1	1	5.24	6.8
SHISA5	1	1	2	3	12.62	13.25
MEF2A	0	2	1	2	7.08	7.76
TRIM3	0	2	2	1	9.9	9.61
KDM3A	0	3	1	1	6.22	7.43
TRIM5	0	2	2	1	-0.08	5.29
ZNF337	0	3	1	1	-0.08	5.8
AMPD3	0	1	1	1	10.24	10.2
RPLP2	1	1	2	2	12.85	13.34
TXNIP	0	1	1	1	11.34	11.44
BET1	0	2	1	1	9.08	8.23
TMEM14C	0	2	1	1	-0.08	-0.15
TMEM14A	0	3	1	2	8.29	8
ALCAM	0	5	1	1	-0.08	5.86
CSF1R	0	2	1	1	11.8	11.74
FAM177B	0	2	1	1	8.15	6.62
FBXW7	0	2	1	2	-0.08	-0.15
CLIC4	0	1	1	1	11.04	10.95
EVC	0	1	1	1	9.33	9.49
PHACTR2	0	2	1	1	-0.08	-0.15
CELSR1	0	1	1	1	10.57	10.64
PTCHD4	0	4	1	1	-0.08	-0.15
FOXL1	0	1	1	3	11.66	11.59
LRRC32	0	1	1	1	10.54	10.48
SECISBP2L	0	1	1	2	8.93	8.73
F2RL1	0	2	1	2	-0.08	-0.15
SH3PXD2A	0	2	1	1	9.67	9.02
VMP1	0	1	1	1	10.4	10.05
SVIL	0	1	1	3	9.57	9.22
PRDX5	1	1	2	2	12.46	12.77
ZMAT3	0	2	1	1	-0.08	-0.15
AP3S1	0	2	1	1	-0.08	-0.15
NR1D1	0	1	2	3	11.94	12.04
SMOC1	0	3	1	3	-0.08	-0.15
SWAP70	0	1	1	3	10.18	9.63
PHLDA1	0	2	1	2	10.07	9.73
FYN	0	2	1	1	8.25	7.94
RRS1	0	2	1	1	9.57	9.09
VASN	1	1	2	1	12.03	12.28
NINJ1	0	2	1	2	8.73	7.57
RUFY3	0	2	2	2	3.93	5.11
RUFY2	0	1	1	2	8.9	7.67
OSTC	0	2	1	2	-0.08	-0.15
VASP	1	1	2	2	12.37	12.66
BCKDHB	0	2	1	1	-0.08	-0.15
ZSCAN30	0	3	1	2	-0.08	6.15
CKB	0	1	1	1	11.47	11.68
TIGAR	0	1	2	1	12.05	12.11
TXNDC9	0	1	1	2	8.48	7.48
CPPED1	0	3	1	1	3.65	-0.15
TTC30A	0	5	1	1	-0.08	-0.15
FAM46A	0	2	1	1	-0.08	5.92
TECPR1	0	2	1	2	10.38	10.69
PSD4	0	3	1	2	-0.08	5.99
WDR63	0	2	1	1	-0.08	5.83
CUL7	1	1	2	1	12.11	12.3
LYPLA2	1	1	1	2	11.39	11.69
FLCN	0	2	1	2	10.87	10.88
PRMT2	0	1	1	1	0.0	0.0
TRIM21	0	5	2	1	-0.08	-0.15
TRIM22	0	2	2	1	-0.08	5.29
FLRT2	0	2	1	2	-0.08	-0.15
TRPT1	1	1	2	1	12.65	13.05
RBM43	0	2	1	1	-0.08	-0.15
ORMDL2	0	1	2	1	11.35	11.35
PTPN12	0	1	1	2	9.81	9.41
ZNF24	0	3	1	2	-0.08	6.15
F2R	0	2	1	2	-0.08	6.72
TTC12	0	2	1	2	-0.08	-0.15
DNAJC28	0	1	1	1	9.47	9.23
HSPG2	1	1	1	3	11.57	11.81
NTSR1	1	1	2	1	11.67	11.87
NDRG1	0	2	1	3	9.17	7.23
SEC16B	0	2	1	2	-0.08	-0.15
RICTOR	0	2	1	1	8.29	7.65
ARHGAP1	1	1	2	3	11.25	11.43
SRSF5	0	2	1	2	7.47	7.66
FAM196B	0	5	1	2	-0.08	-0.15
PPM1D	0	1	1	3	10.26	10.17
SRSF3	1	1	1	3	11.22	11.55
USP46	0	3	1	1	-0.08	-0.15
PPM1K	0	3	1	2	-0.08	-0.15
SRSF8	0	2	1	1	-0.08	-0.15
XDH	0	2	1	1	-0.08	-0.15
DNAJB11	0	2	1	1	4.23	4.17
CDK2AP2	1	1	2	2	12.04	12.37
PJA2	0	2	1	2	-0.08	-0.15
DALRD3	1	1	2	1	12.38	12.69
PRKAB2	0	2	1	1	7.64	7.55
PRKAB1	0	2	1	1	3.84	6.96
SIKE1	0	4	1	1	4.2	6.11
HSPA4L	0	2	1	1	-0.08	-0.15
DDR2	0	2	1	2	8.98	8.69
WASH2P	0	1	1	3	6.92	7.57
AGBL5	1	1	2	2	12.26	12.51
BAG1	0	1	1	2	10.19	9.91
VDAC2	0	1	1	1	9.79	9.7
CHMP5	0	1	1	2	10.19	9.91
SLC52A1	1	1	2	1	12.55	12.82
SLC52A2	1	1	2	3	12.94	13.41
PGBD2	0	2	1	3	0.0	0.0
CTPS1	0	2	1	2	10.46	10.57
TMEM206	0	2	1	3	7.85	7.47
FAM160B1	0	2	1	1	3.95	3.14
FAM160B2	1	1	2	2	11.05	11.35
HMGCS1	0	4	1	2	-0.08	-0.15
KIAA1324	0	1	2	2	10.44	10.22
FAM214A	0	2	1	2	-0.08	-0.15
FAM214B	1	1	2	1	11.8	12
TTYH3	1	1	1	3	11.81	12.25
SH3BP5L	0	2	2	3	-0.08	-0.15
LGALS3	0	1	1	1	9.71	8.91
RMND5A	0	3	1	1	-0.08	6.62
EIF2AK4	0	1	2	1	11.02	10.81
ADRB2	0	2	1	2	5.68	7.05
COL1A2	0	2	1	1	10.72	9.96
COL1A1	0	1	2	3	13.78	13.95
AVPI1	0	1	1	3	9.63	9.72
MYO10	0	2	1	1	8.52	7.97
TMEM156	0	1	1	1	8.9	8.34
DDIT4	0	1	1	3	10.46	10.31
CDC37L1	0	3	1	2	2.03	-0.15
CALCOCO2	0	1	2	1	11.13	11.14
PLAG1	0	3	1	2	-0.08	-0.15
PIGF	0	2	1	3	9.33	9.08
LOXL2	0	1	1	3	9.96	9.93
IL1RAP	0	2	1	2	-0.08	-0.15
CSNK1G1	0	1	1	1	10.32	9.82
RDH10	0	2	1	1	-0.08	-0.15
KANK3	0	1	2	2	11.18	11.28
WBP2	1	1	2	2	12.32	12.64
COL6A3	0	2	1	2	11.59	11.46
ATXN1	0	1	1	2	9.42	9.46
DEDD2	1	1	2	3	12.03	12.33
SEC61A1	0	1	1	2	10.7	10.67
PTGS2	0	2	1	1	-0.08	-0.15
PTGS1	0	2	2	2	9.8	9.61
MGARP	0	1	1	2	8.25	7.42
OGFRL1	0	2	1	1	-0.08	-0.15
ZFAND5	0	2	1	2	-0.08	-0.15
WDR5B	0	2	1	3	-0.08	-0.15
CREBL2	0	1	1	1	9.53	8.97
MAFF	1	1	2	1	11.85	12.12
CEP120	0	2	1	1	-0.08	-0.15
DENND3	0	1	1	2	10.34	10.2
ARHGAP22	0	3	1	3	-0.08	-0.15
ARHGAP21	0	3	1	1	4.49	-0.15
PTP4A1	0	3	1	1	-0.08	-0.15
CREBRF	0	2	1	1	9.85	9.45
HHAT	0	2	1	3	-0.08	2.66
MICALCL	0	2	1	3	10.26	10.41
MRPS6	0	1	1	1	9.88	9.42
UBR3	0	2	1	1	-0.08	-0.15
UBR2	0	1	2	1	10.25	9.97
ATG2B	0	3	1	3	5.8	6.37
NUCB1	1	1	2	3	12.32	12.6
HSDL2	0	1	1	1	8.36	8
SOCS5	0	1	1	3	9.33	9.08
BMP2	0	4	1	2	-0.08	-0.15
ACYP2	0	2	1	1	3.43	5.52
SOCS2	0	2	1	2	9.48	9.51
PPP2CB	0	1	1	2	-0.08	-0.15
WDR59	0	1	1	1	9.68	9.7
PSG4	0	3	2	2	11.05	11.04
PSG5	0	1	2	3	11.05	11.04
UQCC1	0	1	1	3	11.13	11.14
TRIM38	0	3	2	3	6.49	6.44
TRIM32	0	2	1	1	-0.08	-0.15
TRIM35	0	3	1	1	3.37	-0.15
CD151	1	1	2	2	12.85	13.34
NCKAP1	0	2	1	1	-0.08	-0.15
CHD2	0	2	1	3	8.08	7.14
CHD9	0	3	1	3	7.8	6.2
SCD	0	1	1	1	10.16	10.11
WISP1	0	2	1	3	8.37	-0.15
MNT	1	1	2	1	12	12.21
NPC1	0	1	1	1	9.65	9.39
FN3K	0	1	2	1	11.75	11.86
PSME4	0	1	1	1	7.72	7.29
RAB3GAP2	0	2	1	1	-0.08	-0.15
TTC3	0	1	1	1	9.23	8.8
TANC1	0	2	1	2	-0.08	-0.15
RHOQ	0	2	1	3	8.85	8.5
RHOU	0	2	1	3	6.76	6.75
ARPC4	0	1	2	1	10.57	10.82
DCUN1D3	0	3	1	1	9.73	9.8
DYNC1LI2	0	1	2	3	10.49	10.58
ITPR2	0	1	1	3	9.36	9.08
RHOB	0	2	1	3	7.23	-0.15
RHOA	1	1	2	1	11.79	12.09
KDSR	0	2	1	1	-0.08	4.85
TMEM64	0	5	1	1	-0.08	-0.15
TMEM68	0	3	1	1	-0.08	-0.15
ASCC3	0	5	1	1	-0.08	-0.15
IL17RE	0	1	2	1	10.71	10.93
IL17RC	0	1	2	1	10.71	10.93
KDM1B	0	2	1	2	-0.08	6.46
GAMT	1	1	2	2	12.94	13.24
GRASP	1	1	2	1	11.22	11.56
UCP2	0	1	1	2	11.05	11.04
FZD4	0	2	1	1	-0.08	-0.15
FZD6	0	2	1	3	6.22	5.02
TBRG1	0	5	2	1	-0.08	4.65
TMEM30A	0	1	1	3	9.23	8.71
SRD5A1	0	3	1	2	-0.08	-0.15
TES	0	2	1	3	8.43	8.45
APAF1	0	2	1	2	6.46	3.07
RAP2B	0	2	1	3	-0.08	-0.15
FAM49A	0	5	1	1	-0.08	-0.15
ZFP36L1	0	1	1	2	11.06	10.99
PLCD3	1	1	2	2	12.04	12.32
ADA	0	1	2	2	10.19	10.16
TGFBRAP1	0	3	1	3	3.84	3.74
BRWD1	0	3	1	1	7.11	7.12
SOS2	0	1	1	1	8.81	8.39
ITFG1	0	3	1	1	6.95	6.58
CTGF	0	2	1	2	9.98	9.43
PSMB7	0	1	1	2	10.08	10.21
PSMB6	1	1	2	2	11.81	12.15
DECR1	0	5	1	1	-0.08	-0.15
PSMB1	0	2	1	1	-0.08	-0.15
LMBR1L	1	1	2	1	12.31	12.51
TMA7	1	1	2	3	12.25	12.85
CAB39	0	2	1	2	8.63	8.16
JUND	1	1	2	3	12.03	12.38
HIST1H2AC	0	1	2	3	9.53	8.87
HIGD1A	0	2	1	2	4.84	4.93
TRIML2	0	2	1	1	-0.08	-0.15
NACC2	1	1	2	3	11.88	12.2
PLXNB2	1	1	2	2	12.21	12.63
TRAF4	1	1	2	1	11.97	12.19
KIAA0556	0	1	1	3	10.59	10.4
GTF2H5	0	1	1	2	8.85	8.04
CYGB	1	1	2	3	11.91	12.3
ABCC10	0	1	2	3	11.72	11.83
FOXN3	0	1	1	3	9.17	8.42
SDHC	0	2	2	3	9.42	8.88
PPCS	0	2	1	1	9.35	9.29
ERRFI1	0	1	1	2	11.15	10.77
IFFO2	0	2	1	2	11.44	11.41
TMCO1	0	2	1	1	-0.08	5.78
SBF2	0	2	1	1	10.63	10
ANKIB1	0	2	1	1	7.75	7.51
TM7SF3	0	1	1	1	9.17	8.77
CCDC149	0	3	1	2	1.67	6.13
SMG6	0	1	2	3	12.19	12.21
BLOC1S2	0	1	1	1	10.16	10.11
COMMD6	0	2	1	1	-0.08	-0.15
COL27A1	1	1	1	1	10.44	10.63
SLC38A1	0	2	1	2	10.32	9.59
CAMK2A	0	1	1	3	11.49	11.36
OSBPL8	0	2	1	1	8.61	7.74
OSBPL9	0	2	1	3	9.8	9.2
OSBPL2	1	1	2	1	11.11	11.31
OSBPL3	0	2	1	2	7.72	8.51
ALS2CL	1	1	1	1	10.63	11
DBNL	0	1	2	1	11.43	11.6
AKAP9	0	2	1	1	5.98	6.51
SNRNP27	0	1	1	1	8.24	7.79
STARD4	0	2	1	2	-0.08	5.66
PHPT1	1	1	2	1	12.64	13.12
NUAK1	0	2	1	1	9.63	8.55
ANO6	0	2	1	1	7.11	7.36
CELF2	0	4	1	1	-0.08	-0.15
CELF1	0	1	2	1	11.3	11.22
WDR43	0	2	1	2	7.95	8.25
WDR47	0	1	2	3	10.14	9.68
WDR48	0	2	1	1	-0.08	-0.15
PEPD	0	3	1	1	9.64	9.74
AHSA2	0	1	1	2	8.59	8.37
MN1	0	1	1	1	9.6	9.41
ALPK2	0	1	1	1	9.93	9
SENP6	0	1	1	2	7.99	7.91
UCK2	0	2	1	1	-0.08	4.74
TP53I3	0	2	1	2	8.43	8.78
SNPH	0	3	1	1	9.82	9.66
CYSTM1	0	2	2	1	9.84	10
DSE	0	2	1	3	-0.08	0.4
CSNK1A1	0	2	1	3	10.22	9.88
ERMP1	0	2	1	2	-0.08	7.09
EML2	1	1	2	2	12.16	12.46
TTC37	0	2	1	1	-0.08	2.22
WDFY2	0	2	1	1	6.84	7.42
WDFY1	0	2	1	1	7	7.92
SORT1	0	1	2	2	10.49	10.37
GFPT1	0	1	1	1	9.29	8.91
ECHDC3	0	3	1	1	-0.08	-0.15
CEP85L	0	2	1	2	-0.08	-0.15
SLC2A12	0	1	1	1	8.57	7.94
SLC2A11	0	1	2	1	10.75	10.89
DYRK3	0	2	1	3	9.69	9.62
POLR2L	1	1	2	2	12.46	12.8
RGMB	0	2	1	2	6.89	7.01
NCOA3	0	1	1	3	9.7	9.54
FAM91A1	0	1	1	2	7.8	7.83
RNF152	0	3	1	1	-0.08	-0.15
ELL2	0	1	1	2	7.98	7.07
CTF1	1	1	2	2	12.04	12.24
TMEM65	0	1	1	1	7.67	7.54
SUGCT	0	2	1	1	7.83	7.19
SLC27A4	1	1	2	1	12.24	12.51
ZFYVE27	0	1	1	3	9.63	9.72
TPCN2	1	1	1	1	11.68	12.02
AK3	0	2	1	2	-0.08	7.01
SLC17A5	0	1	1	1	10	9.8
AK1	1	1	2	1	12.3	12.65
IL21R	0	3	1	3	10.31	10.51
AK4	0	2	1	1	-0.08	-0.15
SARS	0	1	2	2	11.21	11.2
PRKD2	1	1	2	3	12.04	12.28
TRPC4AP	0	1	1	1	11.04	10.88
CHMP4A	1	1	2	2	11.69	11.89
BAX	1	1	2	3	12.46	12.83
ZNF491	0	1	2	1	11.06	11.16
COBLL1	0	5	1	2	-0.08	-0.15
DDX17	0	1	2	1	11.71	11.75
TOB1	0	1	2	3	10.98	11.04
SULF2	0	3	1	2	5.11	-0.15
KLF7	0	2	1	3	-0.08	6.2
ST5	0	1	1	1	10.22	9.94
ATP6V1B2	0	3	1	1	7.19	7.47
EFR3A	0	2	1	1	-0.08	-0.15
PGF	0	1	1	1	10.92	11.07
ARFIP2	0	3	2	1	9.9	9.61
PRSS12	0	2	1	3	-0.08	4.67
FBN2	0	5	1	2	-0.08	-0.15
FBN1	0	1	1	1	8.48	8.72
STARD4-AS1	0	2	1	2	-0.08	5.66
BRMS1L	0	3	1	1	-0.08	-0.15
MEX3B	0	2	1	3	-0.08	-0.15
RND3	0	2	1	2	9.16	8.54
SLC1A4	0	1	1	3	8.37	7.51
ATP13A3	0	2	1	1	9.28	8.9
TCAIM	0	2	1	1	6.55	7.79
LIN7A	0	5	1	1	-0.08	-0.15
MARCH4	0	2	1	2	9.7	9.55
MARCH6	0	1	1	3	6.1	6.06
MARCH2	0	1	2	2	11.43	11.52
TMEM185B	0	2	1	1	7.53	7.72
MARCH8	0	3	1	2	-0.08	-0.15
RARA	0	1	2	3	11.93	11.99
FNDC4	0	1	2	1	11.31	11.41
B3GNT8	1	3	2	2	11.86	12.12
DHRS3	0	2	2	3	9.14	8.03
DHRS1	1	1	2	2	11	11.55
NABP1	0	2	1	3	7.77	7.82
CDKN2B	0	2	1	1	1.98	7.01
TSC22D4	1	1	2	1	12.15	12.41
FCHSD2	0	1	1	1	11.49	11.65
EDEM2	0	1	1	3	11.04	10.88
YIF1A	1	1	2	1	12.75	13.12
KITLG	0	2	1	2	5.48	7.54
SNAI1	0	1	1	3	10.8	10.8
NTPCR	0	2	1	1	-0.08	-0.15
FN1	0	2	1	1	9.72	9.06
SYT1	0	5	1	1	1.98	5.87
SLC2A1	0	1	1	2	11.53	11.6
UBTD1	0	1	1	2	10.51	10.32
NFATC2	0	1	1	2	10.24	9.91
NFATC4	1	1	2	3	11	11.55
PCED1B	0	1	1	2	10.04	10.11
METRNL	1	1	1	1	11.47	11.69
HSBP1	0	3	1	1	9.07	8.78
TCP11L1	0	2	1	2	6.05	8.04
NID2	0	1	1	1	10.17	10.2
LRRTM2	0	1	1	1	9.96	9.67
RRBP1	0	1	1	1	9.78	9.49
SSC5D	1	1	2	2	11.97	12.26
BBS4	0	1	1	1	9.02	8.78
RFK	0	2	1	1	-0.08	-0.15
EPAS1	0	2	1	3	9.68	9.54
COPB2	0	5	1	1	-0.08	-0.15
BTG1	0	2	1	1	8.78	8.42
SARDH	1	1	2	2	11.5	11.81
ATP6V0A1	0	1	2	3	11.81	11.86
RALB	0	2	1	1	7.53	7.72
ATM	0	2	1	1	-0.08	6.18
RCOR3	0	2	1	1	-0.08	-0.15
STXBP3	0	2	2	2	8.57	7.95
PVR	0	1	2	3	11.73	11.86
DNAJB2	0	1	2	3	11.22	11.13
DNAJB4	0	2	1	1	8.24	7.19
LINC00346	0	1	1	3	9.53	9.1
CFLAR	0	1	1	1	9.39	9.35
E2F7	0	2	1	1	7.88	8.47
H1F0	1	1	2	3	12.36	12.65
ENO2	0	1	2	2	12.62	12.64
EIF4E2	0	2	1	1	9.89	10.1
LRRFIP1	0	2	1	1	10.63	10.57
ACOX1	1	1	2	2	12.05	12.33
IRS1	0	2	1	3	6.39	8.26
YRDC	0	2	1	3	8.33	8.94
HEXB	0	2	1	2	-0.08	5.87
LIMS1	0	2	1	2	6.29	7.03
SORBS1	0	2	1	2	-0.08	-0.15
GAL3ST4	1	1	2	2	11.72	12.16
CNIH3	0	5	1	1	9.73	9.88
RGL1	0	2	1	1	9.37	9.26
DNAJC13	0	2	1	1	-0.08	-0.15
XPR1	0	2	1	3	4.61	5.52
PRKCE	0	2	1	1	8.17	8.31
PRKCD	0	1	2	3	10.27	10.38
TANC2	0	1	1	1	10.24	9.61
CES2	1	1	2	3	11.8	12.16
LMAN1	0	1	1	1	5.82	7.02
CDK20	0	2	1	3	3.24	-0.15
CYSRT1	1	1	2	1	12.93	13.35
LMNA	1	1	2	2	12.4	12.7
SEC11C	0	1	1	2	7.32	8.22
PFKFB3	0	2	1	1	9.63	8.76
PFKFB2	0	5	1	3	4.57	7.47
PFKFB4	1	1	2	3	12.62	13.25
SCRIB	1	1	2	3	12.8	13.25
ATP6V1C1	0	2	1	3	7.49	6.74
LOC389641	0	1	1	3	10.13	10.19
VPS37D	1	1	2	1	11.08	11.43
WWP1	0	2	1	1	-0.08	-0.15
FAM3C	0	2	1	2	-0.08	6.41
TMED10	0	1	1	1	9.91	10.19
PPP1R3G	0	2	1	1	-0.08	7.17
OCIAD1	0	3	1	1	3.8	5.88
PPP1R3B	0	3	1	2	-0.08	5.94
PARD6G	0	2	1	2	0.0	0.0
TRUB1	0	2	1	1	-0.08	-0.15
MARVELD1	0	1	1	3	9.63	9.72
ZNF579	1	1	2	1	11.87	12.03
SHC4	0	2	1	2	8.93	8.73
FAM131A	1	1	2	1	11.67	12.13
SHC1	1	1	2	3	12.28	12.69
ERLEC1	0	2	1	1	-0.08	-0.15
CTSD	1	1	2	3	11.01	11.34
POSTN	0	2	1	1	-0.08	-0.15
NACAD	0	2	1	2	10.78	10.75
PCYT1A	0	1	1	1	10.37	10.39
INPP5B	0	2	1	3	9.52	9.17
TRANK1	0	2	1	3	-0.08	7.45
FKBP1A	0	1	1	2	9.62	9.36
ZNF37A	0	3	1	1	-0.08	-0.15
FBLIM1	0	2	2	1	11.59	11.73
AHNAK	1	1	2	3	11.88	12.16
AFF4	0	2	1	2	9.15	8.7
VPS37C	0	2	2	3	10.14	10.13
TIAM1	0	3	1	1	-0.08	-0.15
RRM2B	0	2	1	3	6.85	7.87
UNC50	0	3	1	1	8.53	8.65
CARD6	0	2	1	3	-0.08	-0.15
UNC5B	0	1	1	1	9.71	9.51
PDP1	0	2	1	1	-0.08	5.63
PDP2	1	1	2	3	11.29	11.38
UBA5	0	2	1	3	2.44	4.26
FRMD8	1	1	2	3	13.04	13.38
UBA3	0	2	1	1	4.12	-0.15
FRMD6	0	1	1	2	9.9	9.72
PKNOX1	0	1	1	1	10.8	10.74
UBE2H	0	1	1	1	10.09	10.33
ABCA12	0	5	1	1	-0.08	-0.15
FAM162A	0	2	1	3	-0.08	-0.15
ADAMTS2	0	2	1	1	10.92	10.71
DSCR3	0	3	1	1	9.34	9.01
ATG13	0	1	2	2	10.96	10.76
SEC14L2	1	1	2	1	11.74	12
GNG11	0	2	1	1	9.08	8.23
BTBD19	1	1	1	3	11.93	12.45
BTBD11	0	2	1	1	-0.08	-0.15
BTBD10	0	2	1	1	-0.08	-0.15
BORCS7	0	1	2	3	10.66	10.62
VPS41	0	5	1	1	-0.08	-0.15
RAB22A	0	3	1	1	8.2	8.41
WBP1L	0	1	2	3	10.85	10.9
NDUFA4	0	2	1	1	-0.08	-0.15
COMT	1	1	2	1	11.77	12.12
NCS1	1	1	1	1	11.3	11.45
MAST3	1	1	2	3	11.69	11.99
UAP1L1	1	1	2	1	12.84	13.25
VPS4B	0	2	1	1	-0.08	-0.15
GPR68	0	3	1	1	7.7	8.32
IL11	1	1	2	3	12.22	12.41
IL6	0	2	1	3	8.28	7.2
STX16	0	3	1	1	10.15	9.88
ZMIZ1	0	1	1	1	10.3	10.05
GNS	0	2	1	2	6.1	6.34
UBE2B	0	1	1	1	9.25	8.98
BPGM	0	2	1	1	6.8	6.84
JARID2	0	2	1	2	8.06	7.97
KRCC1	0	3	1	2	-0.08	-0.15
RBMS1	0	2	1	2	7.25	6.39
HIST2H2BE	0	1	2	1	11.05	10.98
AEBP2	0	1	1	1	-0.08	-0.15
LTA4H	0	2	1	1	-0.08	7.63
RB1CC1	0	3	1	1	-0.08	-0.15
KLF13	0	3	1	1	5.58	-0.15
KLF12	0	2	1	1	-0.08	-0.15
KLF10	0	1	1	1	9.04	7.35
RNF170	0	1	1	1	8.88	7.34
NSF	0	2	1	2	5.59	5.17
GBE1	0	5	1	1	-0.08	4.1
ANXA2	0	2	1	1	9.1	9.33
TPST2	0	1	1	1	9.73	9.23
ANXA4	0	1	1	1	9.49	9.44
